Date,DefiVolume
12/08/2020,5921452454
13/08/2020,6000021837
14/08/2020,6224063580
15/08/2020,6699859395
16/08/2020,7069339430
17/08/2020,7163812935
18/08/2020,7432461547
19/08/2020,7401031162
20/08/2020,7458776184
21/08/2020,7731079772
22/08/2020,7643240540
23/08/2020,7590294392
24/08/2020,7656898742
25/08/2020,7809888675
26/08/2020,8081403129
27/08/2020,8260682095
28/08/2020,8373397180
29/08/2020,8880282512
30/08/2020,9166005649
31/08/2020,9497868186
01/09/2020,9756546714
02/09/2020,10753902132
03/09/2020,10565923982
04/09/2020,10019251151
05/09/2020,9931628574
06/09/2020,8613860606
07/09/2020,8891728923
08/09/2020,8197052702
09/09/2020,8031877757
10/09/2020,8282174838
11/09/2020,8983349159
12/09/2020,8929729888
13/09/2020,9152964503
14/09/2020,8952293520
15/09/2020,9117541963
16/09/2020,8986104758
17/09/2020,8738782318
18/09/2020,9282183619
19/09/2020,9789761142
20/09/2020,10509899728
21/09/2020,10760070553
22/09/2020,10132309081
23/09/2020,10222207721
24/09/2020,10248372315
25/09/2020,10619664562
26/09/2020,10900609586
27/09/2020,11841780158
28/09/2020,11788663156
29/09/2020,11897922562
30/09/2020,11880048777
01/10/2020,11708306229
02/10/2020,11710920048
03/10/2020,11223577098
04/10/2020,11403955356
05/10/2020,11383390331
06/10/2020,11263614022
07/10/2020,10844180789
08/10/2020,10597092464
09/10/2020,10858745102
10/10/2020,11298481251
11/10/2020,11453814188
12/10/2020,11573967066
13/10/2020,11596202092
14/10/2020,11674898744
15/10/2020,11682843968
16/10/2020,11561437801
17/10/2020,11375407162
18/10/2020,11328165809
19/10/2020,11471132988
20/10/2020,11501426663
21/10/2020,11268420005
22/10/2020,11526651642
23/10/2020,11782587637
24/10/2020,11982327951
25/10/2020,12174591582
26/10/2020,12229739470
27/10/2020,11959581099
28/10/2020,12110722130
29/10/2020,12054038317
30/10/2020,12021294377
31/10/2020,11835622064
01/11/2020,12151485742
02/11/2020,12176150123
03/11/2020,12024833167
04/11/2020,11817492314
05/11/2020,11920574221
06/11/2020,12187588058
07/11/2020,12682596728
08/11/2020,12754294748
09/11/2020,12887089054
10/11/2020,13421476163
11/11/2020,13697399895
12/11/2020,14195624492
13/11/2020,14055010510
14/11/2020,14460077167
15/11/2020,14201728036
16/11/2020,14289485305
17/11/2020,14849724248
18/11/2020,15233532933
19/11/2020,16611544499
20/11/2020,15901904622
21/11/2020,15387486149
22/11/2020,15505657105
23/11/2020,14999091231
24/11/2020,14994835853
25/11/2020,15077180325
26/11/2020,14813665028
27/11/2020,13384898941
28/11/2020,13379338549
29/11/2020,13764391789
30/11/2020,14426359753
01/12/2020,15166918719
02/12/2020,15090527029
03/12/2020,15571328780
04/12/2020,15893287500
05/12/2020,15175484025
06/12/2020,15571223855
07/12/2020,15634547427
08/12/2020,15777395407
09/12/2020,15399883928
10/12/2020,15313169192
11/12/2020,15139932314
12/12/2020,14830167110
13/12/2020,15405397264
14/12/2020,15810142055
15/12/2020,15790402037
16/12/2020,16157233854
17/12/2020,16413151944
18/12/2020,16932127680
19/12/2020,16985382669
20/12/2020,17401248060
21/12/2020,17126821521
22/12/2020,16637068858
23/12/2020,17018158492
24/12/2020,16876681706
25/12/2020,16810428183
26/12/2020,17497146610
27/12/2020,17742225550
28/12/2020,17657773565
29/12/2020,18583159646
30/12/2020,18699685968
31/12/2020,18349528580
01/01/2021,18700057985
02/01/2021,19032002252
03/01/2021,19460766189
04/01/2021,20905692225
05/01/2021,21660911616
06/01/2021,23712547817
07/01/2021,25225560416
08/01/2021,25731311934
09/01/2021,26359566511
10/01/2021,26259520770
11/01/2021,26441488780
12/01/2021,23635511068
13/01/2021,24060045892
14/01/2021,25280086626
15/01/2021,26360673721
16/01/2021,26208934297
17/01/2021,27151709144
18/01/2021,27308355277
19/01/2021,27720492877
20/01/2021,29351833488
21/01/2021,28251778511
22/01/2021,25979596522
23/01/2021,27101676552
24/01/2021,28092593886
25/01/2021,30281360995
26/01/2021,30763143550
27/01/2021,30349204293
28/01/2021,29345509088
29/01/2021,31064566592
30/01/2021,32197950282
31/01/2021,32176753676
01/02/2021,32186443587
02/02/2021,32757502757
03/02/2021,34380922912
04/02/2021,38326750392
05/02/2021,39800903007
06/02/2021,42503099601
07/02/2021,42114476839
08/02/2021,41427673707
09/02/2021,44849236972
10/02/2021,46581526407
11/02/2021,48453867070
12/02/2021,50006273861
13/02/2021,50865892214
14/02/2021,50141660311
15/02/2021,50520793915
16/02/2021,50107645687
17/02/2021,51003671130
18/02/2021,52202130199
19/02/2021,54344753564
20/02/2021,56080419798
21/02/2021,58310298019
22/02/2021,58581435660
23/02/2021,55277554438
24/02/2021,48016045760
25/02/2021,52380047157
26/02/2021,51799311494
27/02/2021,46367682488
28/02/2021,46966594543
01/03/2021,48519520938
02/03/2021,52521007820
03/03/2021,53226602791
04/03/2021,55782317708
05/03/2021,54976258775
06/03/2021,53836951020
07/03/2021,55179347247
08/03/2021,54397752969
09/03/2021,55437360665
10/03/2021,58005920628
11/03/2021,58909702532
12/03/2021,60043313635
13/03/2021,61120139808
14/03/2021,64563514687
15/03/2021,64312535381
16/03/2021,61921742330
17/03/2021,62765673220
18/03/2021,63649029494
19/03/2021,64417232162
20/03/2021,65858170739
21/03/2021,67872077246
22/03/2021,65707954823
23/03/2021,65505709507
24/03/2021,63780972772
25/03/2021,63038676415
26/03/2021,61515604287
27/03/2021,64377058195
28/03/2021,65112581718
29/03/2021,65950163424
30/03/2021,69189667532
31/03/2021,72073388990
01/04/2021,72339717878
02/04/2021,75709961650
03/04/2021,78994690512
04/04/2021,84303481900
05/04/2021,86311927806
06/04/2021,89640371818
07/04/2021,90677564325
08/04/2021,85616484076
09/04/2021,88373506025
10/04/2021,91099169689
11/04/2021,93150541122
12/04/2021,93199349958
13/04/2021,94816693523
14/04/2021,99311170396
15/04/2021,1.04707E+11
16/04/2021,1.07476E+11
17/04/2021,1.06873E+11
18/04/2021,1.07817E+11
19/04/2021,97922566767
20/04/2021,99545601418
21/04/2021,1.00249E+11
22/04/2021,1.02343E+11
23/04/2021,1.05232E+11
24/04/2021,1.02754E+11
25/04/2021,1.01019E+11
26/04/2021,1.05166E+11
27/04/2021,1.15404E+11
28/04/2021,1.20226E+11
29/04/2021,1.23149E+11
30/04/2021,1.23562E+11
01/05/2021,1.26155E+11
02/05/2021,1.31123E+11
03/05/2021,1.30239E+11
04/05/2021,1.38828E+11
05/05/2021,1.40067E+11
06/05/2021,1.42748E+11
07/05/2021,1.45658E+11
08/05/2021,1.44863E+11
09/05/2021,1.52005E+11
10/05/2021,1.54529E+11
11/05/2021,1.54991E+11
12/05/2021,1.54191E+11
13/05/2021,1.53353E+11
14/05/2021,1.44424E+11
15/05/2021,1.49152E+11
16/05/2021,1.44764E+11
17/05/2021,1.43399E+11
18/05/2021,1.38265E+11
19/05/2021,1.31058E+11
20/05/2021,1.10645E+11
21/05/2021,1.08565E+11
22/05/2021,1.05012E+11
23/05/2021,95886799317
24/05/2021,89395599951
25/05/2021,98748552434
26/05/2021,1.0158E+11
27/05/2021,1.09236E+11
28/05/2021,1.07719E+11
29/05/2021,1.01049E+11
30/05/2021,99092699377
31/05/2021,1.0347E+11
01/06/2021,1.0847E+11
02/06/2021,1.10692E+11
03/06/2021,1.15838E+11
04/06/2021,1.17504E+11
05/06/2021,1.11968E+11
06/06/2021,1.14708E+11
07/06/2021,1.15525E+11
08/06/2021,1.15074E+11
09/06/2021,1.12617E+11
10/06/2021,1.14742E+11
11/06/2021,1.13478E+11
12/06/2021,1.10519E+11
13/06/2021,1.10013E+11
14/06/2021,1.15746E+11
15/06/2021,1.1978E+11
16/06/2021,1.18497E+11
17/06/2021,1.14878E+11
18/06/2021,1.1107E+11
19/06/2021,1.08221E+11
20/06/2021,1.07153E+11
21/06/2021,1.01492E+11
22/06/2021,93289012647
23/06/2021,92711034648
24/06/2021,95719208365
25/06/2021,96958863999
26/06/2021,94472545687
27/06/2021,94587340318
28/06/2021,96751291414
29/06/2021,99857776764
30/06/2021,1.01513E+11
01/07/2021,1.01481E+11
02/07/2021,1.01165E+11
03/07/2021,1.00954E+11
04/07/2021,1.04422E+11
05/07/2021,1.06293E+11
06/07/2021,1.06365E+11
07/07/2021,1.0995E+11
08/07/2021,1.10556E+11
09/07/2021,1.07658E+11
10/07/2021,1.07917E+11
11/07/2021,1.07831E+11
12/07/2021,1.09587E+11
13/07/2021,1.06029E+11
14/07/2021,1.07841E+11
15/07/2021,1.07161E+11
16/07/2021,1.10011E+11
17/07/2021,1.09799E+11
18/07/2021,1.11451E+11
19/07/2021,1.09165E+11
20/07/2021,1.07124E+11
21/07/2021,1.05476E+11
22/07/2021,1.1095E+11
23/07/2021,1.11266E+11
24/07/2021,1.14015E+11
25/07/2021,1.15987E+11
26/07/2021,1.17152E+11
27/07/2021,1.1835E+11
28/07/2021,1.2094E+11
29/07/2021,1.20518E+11
30/07/2021,1.22796E+11
31/07/2021,1.24289E+11
01/08/2021,1.25561E+11
02/08/2021,1.25406E+11
03/08/2021,1.24589E+11
04/08/2021,1.26275E+11
05/08/2021,1.30691E+11
06/08/2021,1.31083E+11
07/08/2021,1.33393E+11
08/08/2021,1.38071E+11
09/08/2021,1.37401E+11
10/08/2021,1.40707E+11
11/08/2021,1.38709E+11
12/08/2021,1.41309E+11
13/08/2021,1.43028E+11
14/08/2021,1.4832E+11
15/08/2021,1.49421E+11
16/08/2021,1.50146E+11
17/08/2021,1.47743E+11
18/08/2021,1.46972E+11
19/08/2021,1.4998E+11
20/08/2021,1.53544E+11
21/08/2021,1.56756E+11
22/08/2021,1.56524E+11
23/08/2021,1.57941E+11
24/08/2021,1.58181E+11
25/08/2021,1.56648E+11
26/08/2021,1.56566E+11
27/08/2021,1.56804E+11
28/08/2021,1.63633E+11
29/08/2021,1.63634E+11
30/08/2021,1.61381E+11
31/08/2021,1.63107E+11
01/09/2021,1.68875E+11
02/09/2021,1.77448E+11
03/09/2021,1.79619E+11
04/09/2021,1.82726E+11
05/09/2021,1.88124E+11
06/09/2021,1.8993E+11
07/09/2021,1.8796E+11
08/09/2021,1.79165E+11
09/09/2021,1.82295E+11
10/09/2021,1.8399E+11
11/09/2021,1.79558E+11
12/09/2021,1.85044E+11
13/09/2021,1.83433E+11
14/09/2021,1.80916E+11
15/09/2021,1.86609E+11
16/09/2021,1.90163E+11
17/09/2021,1.87952E+11
18/09/2021,1.89075E+11
19/09/2021,1.93396E+11
20/09/2021,1.84278E+11
21/09/2021,1.71383E+11
22/09/2021,1.7194E+11
23/09/2021,1.79542E+11
24/09/2021,1.82958E+11
25/09/2021,1.79611E+11
26/09/2021,1.79432E+11
27/09/2021,1.7987E+11
28/09/2021,1.74926E+11
29/09/2021,1.7041E+11
30/09/2021,1.74E+11
01/10/2021,1.76094E+11
02/10/2021,1.8574E+11
03/10/2021,1.8731E+11
04/10/2021,1.87102E+11
05/10/2021,1.87815E+11
06/10/2021,1.88131E+11
07/10/2021,1.90181E+11
08/10/2021,1.98076E+11
09/10/2021,2.02223E+11
10/10/2021,2.05806E+11
11/10/2021,2.02356E+11
12/10/2021,2.01385E+11
13/10/2021,2.00876E+11
14/10/2021,2.06452E+11
15/10/2021,2.09039E+11
16/10/2021,2.08194E+11
17/10/2021,2.05655E+11
18/10/2021,2.05068E+11
19/10/2021,2.01596E+11
20/10/2021,2.09056E+11
21/10/2021,2.15731E+11
22/10/2021,2.11617E+11
23/10/2021,2.10774E+11
24/10/2021,2.19823E+11
25/10/2021,2.17292E+11
26/10/2021,2.21812E+11
27/10/2021,2.18501E+11
28/10/2021,2.10266E+11
29/10/2021,2.18285E+11
30/10/2021,2.07714E+11
31/10/2021,2.07988E+11
01/11/2021,2.11506E+11
02/11/2021,2.13056E+11
03/11/2021,2.20552E+11
04/11/2021,2.23391E+11
05/11/2021,2.22766E+11
06/11/2021,2.22506E+11
07/11/2021,2.23337E+11
08/11/2021,2.28872E+11
09/11/2021,2.34679E+11
10/11/2021,2.34999E+11
11/11/2021,2.28191E+11
12/11/2021,2.34038E+11
13/11/2021,2.35425E+11
14/11/2021,2.34447E+11
15/11/2021,2.35471E+11
16/11/2021,2.29946E+11
17/11/2021,2.19987E+11
18/11/2021,2.23252E+11
19/11/2021,2.13746E+11
20/11/2021,2.24349E+11
21/11/2021,2.30402E+11
22/11/2021,2.26983E+11
23/11/2021,2.21767E+11
24/11/2021,2.27966E+11
25/11/2021,2.27386E+11
26/11/2021,2.35632E+11
27/11/2021,2.19194E+11
28/11/2021,2.20597E+11
29/11/2021,2.27319E+11
30/11/2021,2.33312E+11
01/12/2021,2.37081E+11
02/12/2021,2.37485E+11
03/12/2021,2.34801E+11
04/12/2021,2.23097E+11
05/12/2021,2.11612E+11
06/12/2021,2.11754E+11
07/12/2021,2.18849E+11
08/12/2021,2.21693E+11
09/12/2021,2.23867E+11
10/12/2021,2.14198E+11
11/12/2021,2.07906E+11
12/12/2021,2.13018E+11
13/12/2021,2.1526E+11
14/12/2021,2.03972E+11
15/12/2021,2.08874E+11
16/12/2021,2.1846E+11
17/12/2021,2.18136E+11
18/12/2021,2.14321E+11
19/12/2021,2.21135E+11
20/12/2021,2.23761E+11
21/12/2021,2.26325E+11
22/12/2021,2.34755E+11
23/12/2021,2.33429E+11
24/12/2021,2.41425E+11
25/12/2021,2.41655E+11
26/12/2021,2.4233E+11
27/12/2021,2.42817E+11
28/12/2021,2.40655E+11
29/12/2021,2.32698E+11
30/12/2021,2.32052E+11
31/12/2021,2.33067E+11
01/01/2022,2.31778E+11
02/01/2022,2.31886E+11
03/01/2022,2.32689E+11
04/01/2022,2.35187E+11
05/01/2022,2.35441E+11
06/01/2022,2.24159E+11
07/01/2022,2.21984E+11
08/01/2022,2.15972E+11
09/01/2022,2.13232E+11
10/01/2022,2.14603E+11
11/01/2022,2.10052E+11
12/01/2022,2.16608E+11
13/01/2022,2.22456E+11
14/01/2022,2.23119E+11
15/01/2022,2.25021E+11
16/01/2022,2.25252E+11
17/01/2022,2.25057E+11
18/01/2022,2.1751E+11
